Date,Total Case,New Case
1/22/2020,547,547
1/23/2020,639,92
1/24/2020,916,277
1/25/2020,1399,483
1/26/2020,2062,663
1/27/2020,2863,801
1/28/2020,5494,2631
1/29/2020,6070,576
1/30/2020,8124,2054
1/31/2020,9783,1659
2/1/2020,11871,2088
2/2/2020,16607,4736
2/3/2020,19693,3086
2/4/2020,23680,3987
2/5/2020,27409,3729
2/6/2020,30553,3144
2/7/2020,34075,3522
2/8/2020,36778,2703
2/9/2020,39790,3012
2/10/2020,42306,2516
2/11/2020,44327,2021
2/12/2020,44699,372
2/13/2020,59832,15133
2/14/2020,66292,6460
2/15/2020,68347,2055
2/16/2020,70446,2099
2/17/2020,72364,1918
2/18/2020,74139,1775
2/19/2020,74546,407
2/20/2020,74999,453
2/21/2020,75472,473
2/22/2020,76922,1450
2/23/2020,76938,16
2/24/2020,77152,214
2/25/2020,77660,508
2/26/2020,78065,405
2/27/2020,78498,433
2/28/2020,78824,326
2/29/2020,79251,427
3/1/2020,79826,575
3/2/2020,80026,200
3/3/2020,80151,125
3/4/2020,80271,120
3/5/2020,80422,151
3/6/2020,80573,151
3/7/2020,80652,79
3/8/2020,80699,47
3/9/2020,80735,36
3/10/2020,80757,22
3/11/2020,80785,28
3/12/2020,80793,8
3/13/2020,80801,8
3/14/2020,80827,26
3/15/2020,80848,21
3/16/2020,80867,19
3/17/2020,80884,17
3/18/2020,80906,22
3/19/2020,80931,25
3/20/2020,80977,46
3/21/2020,81014,37
3/22/2020,81094,80
3/23/2020,81118,24
3/24/2020,81180,62
3/25/2020,81221,41
3/26/2020,81298,77
3/27/2020,81345,47
3/28/2020,81401,56
3/29/2020,81444,43
3/30/2020,83019,1575
3/31/2020,83193,174
4/1/2020,83270,77
4/2/2020,83357,87
4/3/2020,83452,95
4/4/2020,83511,59
4/5/2020,83614,103
4/6/2020,83681,67
4/7/2020,83839,158
4/8/2020,83945,106
4/9/2020,84039,94
4/10/2020,84101,62
4/11/2020,84212,111
4/12/2020,84361,149
4/13/2020,84422,61
4/14/2020,84562,140
4/15/2020,84665,103
4/16/2020,84768,103
4/17/2020,85166,398
4/18/2020,85234,68
4/19/2020,85300,66
4/20/2020,85346,46
4/21/2020,85419,73
4/22/2020,85454,35
4/23/2020,85499,45
4/24/2020,85542,43
4/25/2020,85576,34
4/26/2020,85604,28
4/27/2020,85650,46
4/28/2020,85697,47
4/29/2020,85734,37
4/30/2020,85765,31
5/1/2020,85774,9
5/2/2020,85753,-21
5/3/2020,85752,-1
5/4/2020,85768,16
5/5/2020,85790,22
5/6/2020,85798,8
5/7/2020,85815,17
5/8/2020,85831,16
5/9/2020,85864,33
5/10/2020,85887,23
5/11/2020,85903,16
5/12/2020,85918,15
5/13/2020,85932,14
5/14/2020,85947,15
5/15/2020,85967,20
5/16/2020,85985,18
5/17/2020,86010,25
5/18/2020,86035,25
5/19/2020,86051,16
5/20/2020,86082,31
5/21/2020,86117,35
5/22/2020,86153,36
5/23/2020,86192,39
5/24/2020,86243,51
5/25/2020,86279,36
5/26/2020,86308,29
5/27/2020,86333,25
5/28/2020,86338,5
5/29/2020,86346,8
5/30/2020,86351,5
5/31/2020,86383,32
6/1/2020,86396,13
6/2/2020,86401,5
6/3/2020,86404,3
6/4/2020,86411,7
6/5/2020,86416,5
6/6/2020,86426,10
6/7/2020,86432,6
6/8/2020,86455,23
6/9/2020,86463,8
6/10/2020,86477,14
6/11/2020,86484,7
6/12/2020,86502,18
6/13/2020,86566,64
6/14/2020,86633,67
6/15/2020,86679,46
6/16/2020,86728,49
6/17/2020,86764,36
6/18/2020,86799,35
6/19/2020,86806,7
6/20/2020,86865,59
6/21/2020,86887,22
6/22/2020,86915,28
6/23/2020,86930,15
6/24/2020,86949,19
6/25/2020,86966,17
6/26/2020,86998,32
6/27/2020,87020,22
6/28/2020,87037,17
6/29/2020,87057,20
6/30/2020,87062,5
7/1/2020,87067,5
7/2/2020,87076,9
7/3/2020,87083,7
7/4/2020,87097,14
7/5/2020,87112,15
7/6/2020,87126,14
7/7/2020,87146,20
7/8/2020,87160,14
7/9/2020,87163,3
7/10/2020,87167,4
7/11/2020,87185,18
7/12/2020,87199,14
7/13/2020,87204,5
7/14/2020,87217,13
7/15/2020,87220,3
7/16/2020,87239,19
7/17/2020,87270,31
7/18/2020,87328,58
7/19/2020,87361,33
7/20/2020,87377,16
7/21/2020,87412,35
7/22/2020,87452,40
7/23/2020,87505,53
7/24/2020,87595,90
7/25/2020,87692,97
7/26/2020,87766,74
7/27/2020,87844,78
7/28/2020,87921,77
7/29/2020,88035,114
7/30/2020,88137,102
7/31/2020,88200,63
8/1/2020,88264,64
8/2/2020,88312,48
8/3/2020,88367,55
8/4/2020,88418,51
8/5/2020,88474,56
8/6/2020,88525,51
8/7/2020,88570,45
8/8/2020,88604,34
8/9/2020,88681,77
8/10/2020,88740,59
8/11/2020,88777,37
8/12/2020,88822,45
8/13/2020,88880,58
8/14/2020,88921,41
8/15/2020,88955,34
8/16/2020,89013,58
8/17/2020,89052,39
8/18/2020,89081,29
8/19/2020,89110,29
8/20/2020,89152,42
8/21/2020,89207,55
8/22/2020,89234,27
8/23/2020,89276,42
8/24/2020,89306,30
8/25/2020,89330,24
8/26/2020,89356,26
8/27/2020,89379,23
8/28/2020,89395,16
8/29/2020,89408,13
8/30/2020,89444,36
8/31/2020,89488,44
9/1/2020,89514,26
9/2/2020,89536,22
9/3/2020,89585,49
9/4/2020,89603,18
9/5/2020,89629,26
9/6/2020,89657,28
9/7/2020,89677,20
9/8/2020,89687,10
9/9/2020,89709,22
9/10/2020,89745,36
9/11/2020,89758,13
9/12/2020,89838,80
9/13/2020,89886,48
9/14/2020,89901,15
9/15/2020,89927,26
9/16/2020,89950,23
9/17/2020,90000,50
9/18/2020,90038,38
9/19/2020,90069,31
9/20/2020,90106,37
9/21/2020,90127,21
9/22/2020,90152,25
9/23/2020,90179,27
9/24/2020,90204,25
9/25/2020,90249,45
9/26/2020,90284,35
9/27/2020,90319,35
9/28/2020,90355,36
9/29/2020,90394,39
9/30/2020,90413,19
10/1/2020,90457,44
10/2/2020,90478,21
10/3/2020,90515,37
10/4/2020,90562,47
10/5/2020,90604,42
10/6/2020,90631,27
10/7/2020,90645,14
10/8/2020,90683,38
10/9/2020,90737,54
10/10/2020,90779,42
10/11/2020,90837,58
10/12/2020,90857,20
10/13/2020,90888,31
10/14/2020,90920,32
10/15/2020,90952,32
10/16/2020,90975,23
10/17/2020,91022,47
10/18/2020,91068,46
10/19/2020,91109,41
10/20/2020,91132,23
10/21/2020,91170,38
10/22/2020,91196,26
10/23/2020,91252,56
10/24/2020,91285,33
10/25/2020,91461,176
10/26/2020,91525,64
10/27/2020,91581,56
10/28/2020,91620,39
10/29/2020,91698,78
10/30/2020,91760,62
10/31/2020,91850,90
11/1/2020,91902,52
11/2/2020,92003,101
11/3/2020,92143,140
11/4/2020,92185,42
11/5/2020,92244,59
11/6/2020,92302,58
11/7/2020,92363,61
11/8/2020,92404,41
11/9/2020,92450,46
11/10/2020,92480,30
11/11/2020,92496,16
11/12/2020,92518,22
11/13/2020,92542,24
11/14/2020,92557,15
11/15/2020,92578,21
11/16/2020,92601,23
11/17/2020,92613,12
11/18/2020,92631,18
11/19/2020,92661,30
11/20/2020,92695,34
11/21/2020,92722,27
11/22/2020,92742,20
11/23/2020,92766,24
11/24/2020,92776,10
11/25/2020,92798,22
11/26/2020,92811,13
11/27/2020,92820,9
11/28/2020,92840,20
11/29/2020,92873,33
11/30/2020,92885,12
12/1/2020,92896,11
12/2/2020,92917,21
12/3/2020,92947,30
12/4/2020,92973,26
12/5/2020,92987,14
12/6/2020,93007,20
12/7/2020,93026,19
12/8/2020,93038,12
12/9/2020,93053,15
12/10/2020,93073,20
12/11/2020,93101,28
12/12/2020,93134,33
12/13/2020,93158,24
12/14/2020,93180,22
12/15/2020,93200,20
12/16/2020,93213,13
12/17/2020,93235,22
12/18/2020,93268,33
12/19/2020,93300,32
12/20/2020,93337,37
12/21/2020,93367,30
12/22/2020,93395,28
12/23/2020,93425,30
12/24/2020,93455,30
12/25/2020,93494,39
12/26/2020,93530,36
12/27/2020,93567,37
12/28/2020,93595,28
12/29/2020,93632,37
12/30/2020,93660,28
12/31/2020,93697,37
1/1/2021,93734,37
1/2/2021,93765,31
1/3/2021,93834,69
1/4/2021,93899,65
1/5/2021,93987,88
1/6/2021,94125,138
1/7/2021,94230,105
1/8/2021,94300,70
1/9/2021,94363,63
1/10/2021,94511,148
1/11/2021,94642,131
1/12/2021,94753,111
1/13/2021,94959,206
1/14/2021,95149,190
1/15/2021,95338,189
1/16/2021,95534,196
1/17/2021,95697,163
1/18/2021,95846,149
1/19/2021,95968,122
1/20/2021,96169,201
1/21/2021,96378,209
1/22/2021,96547,169
1/23/2021,96698,151
1/24/2021,96782,84
1/25/2021,96886,104
1/26/2021,97019,133
1/27/2021,97090,71
1/28/2021,97172,82
1/29/2021,97233,61
1/30/2021,97286,53
1/31/2021,97339,53
2/1/2021,97378,39
2/2/2021,97405,27
2/3/2021,97441,36
2/4/2021,97486,45
2/5/2021,97507,21
