Date,Total Case,New Case
1/24/2020,2,2
1/25/2020,3,1
1/26/2020,3,0
1/27/2020,3,0
1/28/2020,4,1
1/29/2020,5,1
1/30/2020,5,0
1/31/2020,5,0
2/1/2020,6,1
2/2/2020,6,0
2/3/2020,6,0
2/4/2020,6,0
2/5/2020,6,0
2/6/2020,6,0
2/7/2020,6,0
2/8/2020,11,5
2/9/2020,11,0
2/10/2020,11,0
2/11/2020,11,0
2/12/2020,11,0
2/13/2020,11,0
2/14/2020,11,0
2/15/2020,12,1
2/16/2020,12,0
2/17/2020,12,0
2/18/2020,12,0
2/19/2020,12,0
2/20/2020,12,0
2/21/2020,12,0
2/22/2020,12,0
2/23/2020,12,0
2/24/2020,12,0
2/25/2020,14,2
2/26/2020,18,4
2/27/2020,38,20
2/28/2020,57,19
2/29/2020,100,43
3/1/2020,130,30
3/2/2020,191,61
3/3/2020,212,21
3/4/2020,288,76
3/5/2020,426,138
3/6/2020,616,190
3/7/2020,948,332
3/8/2020,1125,177
3/9/2020,1411,286
3/10/2020,1783,372
3/11/2020,2293,510
3/12/2020,2293,0
3/13/2020,3678,1385
3/14/2020,4493,815
3/15/2020,4529,36
3/16/2020,6680,2151
3/17/2020,7712,1032
3/18/2020,9121,1409
3/19/2020,10962,1841
3/20/2020,12745,1783
3/21/2020,14444,1699
3/22/2020,16739,2295
3/23/2020,20094,3355
3/24/2020,22337,2243
3/25/2020,25292,2955
3/26/2020,29208,3916
3/27/2020,33000,3792
3/28/2020,37648,4648
3/29/2020,40251,2603
3/30/2020,44594,4343
3/31/2020,52229,7635
4/1/2020,57072,4843
4/2/2020,59172,2100
4/3/2020,64395,5223
4/4/2020,47319,-17076
4/5/2020,48165,846
4/6/2020,50823,2658
4/7/2020,47329,-3494
4/8/2020,51180,3851
4/9/2020,54964,3784
4/10/2020,56530,1566
4/11/2020,57975,1445
4/12/2020,108720,50745
4/13/2020,111859,3139
4/14/2020,129307,17448
4/15/2020,132514,3207
4/16/2020,145092,12578
4/17/2020,146983,1891
4/18/2020,150787,3804
4/19/2020,151881,1094
4/20/2020,154327,2446
4/21/2020,156993,2666
4/22/2020,158791,1798
4/23/2020,157082,-1709
4/24/2020,159893,2811
4/25/2020,161571,1678
4/26/2020,162204,633
4/27/2020,165890,3686
4/28/2020,169021,3131
4/29/2020,167566,-1455
4/30/2020,168784,1218
5/1/2020,169310,526
5/2/2020,170102,792
5/3/2020,170463,361
5/4/2020,171025,562
5/5/2020,172140,1115
5/6/2020,176276,4136
5/7/2020,177017,741
5/8/2020,177548,531
5/9/2020,178076,528
5/10/2020,178325,249
5/11/2020,178640,315
5/12/2020,179393,753
5/13/2020,179914,521
5/14/2020,180556,642
5/15/2020,181069,513
5/16/2020,181484,415
5/17/2020,181624,140
5/18/2020,182068,444
5/19/2020,182569,501
5/20/2020,183050,481
5/21/2020,183317,267
5/22/2020,184073,756
5/23/2020,184619,546
5/24/2020,184180,-439
5/25/2020,184505,325
5/26/2020,184760,255
5/27/2020,184933,173
5/28/2020,188275,3342
5/29/2020,188869,594
5/30/2020,190663,1794
5/31/2020,190895,232
6/1/2020,191301,406
6/2/2020,190654,-647
6/3/2020,187428,-3226
6/4/2020,191788,4360
6/5/2020,192369,581
6/6/2020,192941,572
6/7/2020,193282,341
6/8/2020,193556,274
6/9/2020,194108,552
6/10/2020,194733,625
6/11/2020,195097,364
6/12/2020,195898,801
6/13/2020,196395,497
6/14/2020,196785,390
6/15/2020,196921,136
6/16/2020,197584,663
6/17/2020,198073,489
6/18/2020,198659,586
6/19/2020,199446,787
6/20/2020,200065,619
6/21/2020,200408,343
6/22/2020,200550,142
6/23/2020,201248,698
6/24/2020,201516,268
6/25/2020,201771,255
6/26/2020,203034,1263
6/27/2020,203482,448
6/28/2020,203073,-409
6/29/2020,203718,645
6/30/2020,204160,442
7/1/2020,205150,990
7/2/2020,205689,539
7/3/2020,206228,539
7/4/2020,206586,358
7/5/2020,206598,12
7/6/2020,207616,1018
7/7/2020,208070,454
7/8/2020,208892,822
7/9/2020,209336,444
7/10/2020,210050,714
7/11/2020,210301,251
7/12/2020,210317,16
7/13/2020,211740,1423
7/14/2020,211802,62
7/15/2020,212528,726
7/16/2020,213097,569
7/17/2020,213921,824
7/18/2020,214086,165
7/19/2020,214090,4
7/20/2020,216001,1911
7/21/2020,216596,595
7/22/2020,217517,921
7/23/2020,218753,1236
7/24/2020,219844,1091
7/25/2020,219928,84
7/26/2020,219932,4
7/27/2020,222420,2488
7/28/2020,222984,564
7/29/2020,224454,1470
7/30/2020,225848,1394
7/31/2020,227151,1303
8/1/2020,227213,62
8/2/2020,227216,3
8/3/2020,230577,3361
8/4/2020,231546,969
8/5/2020,233254,1708
8/6/2020,234855,1601
8/7/2020,237237,2382
8/8/2020,237306,69
8/9/2020,237312,6
8/10/2020,242029,4717
8/11/2020,243437,1408
8/12/2020,246014,2577
8/13/2020,248684,2670
8/14/2020,251571,2887
8/15/2020,254781,3210
8/16/2020,257801,3020
8/17/2020,258391,590
8/18/2020,260509,2118
8/19/2020,264296,3787
8/20/2020,269096,4800
8/21/2020,274050,4954
8/22/2020,277524,3474
8/23/2020,282259,4735
8/24/2020,284235,1976
8/25/2020,287667,3432
8/26/2020,287911,244
8/27/2020,299137,11226
8/28/2020,306695,7558
8/29/2020,312155,5460
8/30/2020,317537,5382
8/31/2020,320559,3022
9/1/2020,325663,5104
9/2/2020,332701,7038
9/3/2020,339820,7119
9/4/2020,348608,8788
9/5/2020,357202,8594
9/6/2020,364217,7015
9/7/2020,368401,4184
9/8/2020,375139,6738
9/9/2020,383716,8577
9/10/2020,393415,9699
9/11/2020,402848,9433
9/12/2020,414184,11336
9/13/2020,420529,6345
9/14/2020,426703,6174
9/15/2020,434529,7826
9/16/2020,444796,10267
9/17/2020,455035,10239
9/18/2020,468256,13221
9/19/2020,481656,13400
9/20/2020,492192,10536
9/21/2020,497731,5539
9/22/2020,507692,9961
9/23/2020,520848,13156
9/24/2020,536753,15905
9/25/2020,552747,15994
9/26/2020,566966,14219
9/27/2020,577601,10635
9/28/2020,581900,4299
9/29/2020,589756,7856
9/30/2020,603998,14242
10/1/2020,617023,13025
10/2/2020,629347,12324
10/3/2020,645861,16514
10/4/2020,658365,12504
10/5/2020,663740,5375
10/6/2020,675050,11310
10/7/2020,693873,18823
10/8/2020,711213,17340
10/9/2020,731910,20697
10/10/2020,758587,26677
10/11/2020,774581,15994
10/12/2020,783296,8715
10/13/2020,796922,13626
10/14/2020,819565,22643
10/15/2020,849322,29757
10/16/2020,874732,25410
10/17/2020,906871,32139
10/18/2020,936708,29837
10/19/2020,950246,13538
10/20/2020,970622,20376
10/21/2020,997419,26797
10/22/2020,1038232,40813
10/23/2020,1080445,42213
10/24/2020,1125710,45265
10/25/2020,1132264,6554
10/26/2020,1204702,72438
10/27/2020,1239160,34458
10/28/2020,1275879,36719
10/29/2020,1322515,46636
10/30/2020,1371988,49473
10/31/2020,1407089,35101
11/1/2020,1453268,46179
11/2/2020,1557975,104707
11/3/2020,1630273,72298
11/4/2020,1583814,-46459
11/5/2020,1641166,57352
11/6/2020,1701877,60711
11/7/2020,1788532,86655
11/8/2020,1827094,38562
11/9/2020,1847833,20739
11/10/2020,1870155,22322
11/11/2020,1906216,36061
11/12/2020,1938604,32388
11/13/2020,1962518,23914
11/14/2020,1994475,31957
11/15/2020,2021667,27192
11/16/2020,2031302,9635
11/17/2020,2076663,45361
11/18/2020,2105282,28619
11/19/2020,2125842,20560
11/20/2020,2148944,23102
11/21/2020,2166612,17668
11/22/2020,2179742,13130
11/23/2020,2184496,4754
11/24/2020,2194186,9690
11/25/2020,2210674,16488
11/26/2020,2223575,12901
11/27/2020,2236136,12561
11/28/2020,2248613,12477
11/29/2020,2258376,9763
11/30/2020,2262406,4030
12/1/2020,2270662,8256
12/2/2020,2284733,14071
12/3/2020,2297338,12605
12/4/2020,2308638,11300
12/5/2020,2321520,12882
12/6/2020,2332469,10949
12/7/2020,2335880,3411
12/8/2020,2349699,13819
12/9/2020,2364294,14595
12/10/2020,2378044,13750
12/11/2020,2391450,13406
12/12/2020,2405397,13947
12/13/2020,2416930,11533
12/14/2020,2419993,3063
12/15/2020,2431594,11601
12/16/2020,2449209,17615
12/17/2020,2467463,18254
12/18/2020,2483274,15811
12/19/2020,2500702,17428
12/20/2020,2513560,12858
12/21/2020,2519357,5797
12/22/2020,2531152,11795
12/23/2020,2546081,14929
12/24/2020,2567715,21634
12/25/2020,2587977,20262
12/26/2020,2591070,3093
12/27/2020,2599937,8867
12/28/2020,2602897,2960
12/29/2020,2614292,11395
12/30/2020,2640749,26457
12/31/2020,2660676,19927
1/1/2021,2680034,19358
1/2/2021,2683500,3466
1/3/2021,2695989,12489
1/4/2021,2700011,4022
1/5/2021,2720744,20733
1/6/2021,2745887,25143
1/7/2021,2767590,21703
1/8/2021,2787404,19814
1/9/2021,2807581,20177
1/10/2021,2823525,15944
1/11/2021,2827242,3717
1/12/2021,2846936,19694
1/13/2021,2870788,23852
1/14/2021,2892016,21228
1/15/2021,2913287,21271
1/16/2021,2934693,21406
1/17/2021,2951335,16642
1/18/2021,2955071,3736
1/19/2021,2979094,24023
1/20/2021,3005852,26758
1/21/2021,3028439,22587
1/22/2021,3051731,23292
1/23/2021,3075824,24093
1/24/2021,3094260,18436
1/25/2021,3098500,4240
1/26/2021,3120586,22086
1/27/2021,3147502,26916
1/28/2021,3171272,23770
1/29/2021,3194477,23205
1/30/2021,3218522,24045
1/31/2021,3237858,19336
2/1/2021,3242205,4347
2/2/2021,3265542,23337
2/3/2021,3291904,26362
2/4/2021,3291904,0
2/5/2021,3337491,45587
2/6/2021,3358077,20586
2/7/2021,3377792,19715
2/8/2021,3382109,4317
2/9/2021,3401113,19004
2/10/2021,3426500,25387
2/11/2021,3447563,21063
2/12/2021,3468264,20701
2/13/2021,3489495,21231
2/14/2021,3506170,16675
2/15/2021,3510546,4376
2/16/2021,3530136,19590
2/17/2021,3555154,25018
2/18/2021,3577655,22501
2/19/2021,3601771,24116
2/20/2021,3624142,22371
2/21/2021,3646188,22046
2/22/2021,3650834,4646
2/23/2021,3671019,20185
2/24/2021,3702538,31519
2/25/2021,3727941,25403
2/26/2021,3753148,25207
2/27/2021,3777258,24110
2/28/2021,3797210,19952
3/1/2021,3801913,4703
3/2/2021,3824770,22857
3/3/2021,3851558,26788
3/4/2021,3876837,25279
3/5/2021,3900344,23507
3/6/2021,3923736,23392
3/7/2021,3945561,21825
3/8/2021,3951063,5502
3/9/2021,3974190,23127
3/10/2021,4003817,29627
3/11/2021,4031850,28033
3/12/2021,4056888,25038
3/13/2021,4086647,29759
3/14/2021,4113075,26428
3/15/2021,4119519,6444
3/16/2021,4149521,30002
3/17/2021,4187989,38468
3/18/2021,4223020,35031
3/19/2021,4258108,35088
3/20/2021,4293435,35327
3/21/2021,4324088,30653
3/22/2021,4339880,15792
3/23/2021,4354558,14678
3/24/2021,4419931,65373
3/25/2021,4465572,45641
3/26/2021,4507441,41869
3/27/2021,4550060,42619
3/28/2021,4587179,37119
3/29/2021,4596273,9094
3/30/2021,4626975,30702
3/31/2021,4686013,59038
4/1/2021,4736672,50659
4/2/2021,4783349,46677
4/3/2021,4783514,165
4/4/2021,4864143,80629
4/5/2021,4874936,10793
4/6/2021,4882981,8045
4/7/2021,4883903,922
4/8/2021,4980931,97028
4/9/2021,4981084,153
4/10/2021,4982487,1403
4/11/2021,5100387,117900
4/12/2021,5108923,8536
4/13/2021,5148036,39113
4/14/2021,5191541,43505
4/15/2021,5229586,38045
4/16/2021,5266028,36442
4/17/2021,5301889,35861
4/18/2021,5331266,29377
4/19/2021,5337962,6696
4/20/2021,5382025,44063
4/21/2021,5416946,34921
4/22/2021,5450346,33400
4/23/2021,5482686,32340
4/24/2021,5515319,32633
4/25/2021,5539824,24505
4/26/2021,5545776,5952
4/27/2021,5576093,30317
4/28/2021,5607632,31539
4/29/2021,5634170,26538
4/30/2021,5658469,24299
5/1/2021,5684139,25670
5/2/2021,5694060,9921
5/3/2021,5697820,3760
5/4/2021,5722191,24371
5/5/2021,5748191,26000
5/6/2021,5769903,21712
5/7/2021,5789027,19124
5/8/2021,5809806,20779
5/9/2021,5818934,9128
5/10/2021,5822226,3292
5/11/2021,5842017,19791
5/12/2021,5863515,21498
5/13/2021,5882976,19461
5/14/2021,5890001,7025
5/15/2021,5905686,15685
5/16/2021,5919712,14026
5/17/2021,5923062,3350
5/18/2021,5940272,17210
5/19/2021,5959322,19050
5/20/2021,5610476,-348846
5/21/2021,5623276,12800
5/22/2021,5635887,12611
5/23/2021,5645653,9766
5/24/2021,5647882,2229
5/25/2021,5651037,3155
5/26/2021,5663683,12646
5/27/2021,5677616,13933
5/28/2021,5688884,11268
5/29/2021,5700410,11526
5/30/2021,5709072,8662
5/31/2021,5709432,360
6/1/2021,5719280,9848
6/2/2021,5720630,1350
6/3/2021,5736184,15554
6/4/2021,5743137,6953
6/5/2021,5749791,6654
6/6/2021,5754971,5180
6/7/2021,5756135,1164
6/8/2021,5762153,6018
6/9/2021,5767710,5557
6/10/2021,5772185,4475
6/11/2021,5776056,3871
6/12/2021,5780028,3972
6/13/2021,5783001,2973
6/14/2021,5783690,689
6/15/2021,5786925,3235
6/16/2021,5789983,3058
6/17/2021,5792027,2044
6/18/2021,5795208,3181
6/19/2021,5797832,2624
6/20/2021,5799741,1909
6/21/2021,5800228,487
6/22/2021,5802432,2204
6/23/2021,5804752,2320
6/24/2021,5806759,2007
6/25/2021,5808745,1986
6/26/2021,5810873,2128
6/27/2021,5812507,1634
6/28/2021,5813016,509
6/29/2021,5816411,3395
6/30/2021,5817787,1376
7/1/2021,5820451,2664
7/2/2021,5823134,2683
7/3/2021,5826140,3006
7/4/2021,5828745,2605
7/5/2021,5829541,796
7/6/2021,5833126,3585
7/7/2021,5837207,4081
7/8/2021,5841649,4442
7/9/2021,5846229,4580
7/10/2021,5850925,4696
7/11/2021,5855239,4314
7/12/2021,5856499,1260
7/13/2021,5863449,6950
7/14/2021,5864899,1450
7/15/2021,5875941,11042
7/16/2021,5886849,10908
7/17/2021,5897854,11005
7/18/2021,5910386,12532
7/19/2021,5914537,4151
7/20/2021,5932718,18181
7/21/2021,5954257,21539
7/22/2021,5976318,22061
7/23/2021,5995727,19409
7/24/2021,6021415,25688
7/25/2021,6036657,15242
7/26/2021,6041964,5307
7/27/2021,6068988,27024
7/28/2021,6096769,27781
7/29/2021,6121959,25190
7/30/2021,6146268,24309
7/31/2021,6169957,23689
8/1/2021,6189671,19714
8/2/2021,6197831,8160
8/3/2021,6221750,23919
8/4/2021,6250534,28784
8/5/2021,6276994,26460
8/6/2021,6302071,25077
8/7/2021,6327928,25857
8/8/2021,6348388,20460
8/9/2021,6354163,5775
8/10/2021,6381978,27815
8/11/2021,6413830,31852
8/12/2021,6442384,28554
8/13/2021,6468837,26453
8/14/2021,6493264,24427
8/15/2021,6514533,21269
8/16/2021,6525719,11186
8/17/2021,6548678,22959
8/18/2021,6577083,28405
8/19/2021,6601056,23973
8/20/2021,6623375,22319
8/21/2021,6646087,22712
8/22/2021,6663387,17300
8/23/2021,6668553,5166
8/24/2021,6693406,24853
8/25/2021,6717112,23706
8/26/2021,6736795,19683
8/27/2021,6737252,457
8/28/2021,6772882,35630
8/29/2021,6786512,13630
8/30/2021,6794200,7688
8/31/2021,6794224,24
9/1/2021,6827353,33129
9/2/2021,6841506,14153
9/3/2021,6856730,15224
9/4/2021,6870066,13336
9/5/2021,6880476,10410
9/6/2021,6883526,3050
9/7/2021,6898060,14534
9/8/2021,6903982,5922
9/9/2021,6922052,18070
9/10/2021,6932018,9966
9/11/2021,6941619,9601
9/12/2021,6949298,7679
9/13/2021,6951360,2062
9/14/2021,6965425,14065
9/15/2021,6965808,383
9/16/2021,6979080,13272
9/17/2021,6986453,7373
9/18/2021,6993867,7414
9/19/2021,6999681,5814
9/20/2021,7001156,1475
9/21/2021,7009139,7983
9/22/2021,7015933,6794
9/23/2021,7022162,6229
9/24/2021,7028837,6675
9/25/2021,7034053,5216
9/26/2021,7038759,4706
9/27/2021,7040068,1309
9/28/2021,7046833,6765
9/29/2021,7052733,5900
9/30/2021,7057937,5204
10/1/2021,7062872,4935
10/2/2021,7067820,4948
10/3/2021,7071564,3744
10/4/2021,7072702,1138
10/5/2021,7078284,5582
10/6/2021,7082854,4570
10/7/2021,7087860,5006
10/8/2021,7092330,4470
10/9/2021,7097064,4734
10/10/2021,7101055,3991
10/11/2021,7102175,1120
10/12/2021,7108055,5880
10/13/2021,7109414,1359
10/14/2021,7118888,9474
10/15/2021,7124987,6099
10/16/2021,7129886,4899
10/17/2021,7133664,3778
10/18/2021,7134721,1057
10/19/2021,7140666,5945
10/20/2021,7146702,6036
10/21/2021,7152829,6127
10/22/2021,7159195,6366
10/23/2021,7165486,6291
10/24/2021,7170491,5005
10/25/2021,7171786,1295
10/26/2021,7178421,6635
10/27/2021,7185420,6999
10/28/2021,7191410,5990
10/29/2021,7197843,6433
10/30/2021,7205203,7360
10/31/2021,7211532,6329
11/1/2021,7213398,1866
11/2/2021,7215437,2039
11/3/2021,7225667,10230
11/4/2021,7235011,9344
11/5/2021,7244009,8998
11/6/2021,7253614,9605
11/7/2021,7262161,8547
11/8/2021,7264358,2197
11/9/2021,7276869,12511
11/10/2021,7288752,11883
11/11/2021,7301355,12603
11/12/2021,7305215,3860
11/13/2021,7319861,14646
11/14/2021,7332357,12496
11/15/2021,7335616,3259
11/16/2021,7355394,19778
11/17/2021,7375688,20294
11/18/2021,7396054,20366
11/19/2021,7417274,21220
11/20/2021,7439952,22678
11/21/2021,7459701,19749
11/22/2021,7464992,5291
11/23/2021,7495446,30454
11/24/2021,7528037,32591
11/25/2021,7561501,33464
11/26/2021,7595937,34436
11/27/2021,7632994,37057
11/28/2021,7664575,31581
11/29/2021,7673082,8507
11/30/2021,7720283,47201
12/1/2021,7769893,49610
12/2/2021,7818309,48416
12/3/2021,7868167,49858
12/4/2021,7919631,51464
12/5/2021,7961784,42153
12/6/2021,7973362,11578
12/7/2021,8032381,59019
12/8/2021,8093721,61340
12/9/2021,8150575,56854
12/10/2021,8205715,55140
12/11/2021,8259634,53919
12/12/2021,8303482,43848
12/13/2021,8315546,12064
12/14/2021,8378951,63405
12/15/2021,8444664,65713
12/16/2021,8505530,60866
12/17/2021,8563658,58128
12/18/2021,8622194,58536
12/19/2021,8670667,48473
12/20/2021,8685742,15075
12/21/2021,8758599,72857
12/22/2021,8842871,84272
12/23/2021,8934479,91608
12/24/2021,9028603,94124
12/25/2021,9133214,104611
12/26/2021,9160911,27697
12/27/2021,9191370,30459
12/28/2021,9371178,179808
12/29/2021,9579277,208099
12/30/2021,9785821,206544
12/31/2021,10018021,232200
1/1/2022,10237147,219126
1/2/2022,10295579,58432
