Date,Total Case,New Case
1/31/2020,2,2
2/1/2020,2,0
2/2/2020,2,0
2/3/2020,2,0
2/4/2020,2,0
2/5/2020,2,0
2/6/2020,2,0
2/7/2020,3,1
2/8/2020,3,0
2/9/2020,3,0
2/10/2020,3,0
2/11/2020,3,0
2/12/2020,3,0
2/13/2020,3,0
2/14/2020,3,0
2/15/2020,3,0
2/16/2020,3,0
2/17/2020,3,0
2/18/2020,3,0
2/19/2020,3,0
2/20/2020,3,0
2/21/2020,20,17
2/22/2020,62,42
2/23/2020,155,93
2/24/2020,229,74
2/25/2020,322,93
2/26/2020,453,131
2/27/2020,655,202
2/28/2020,888,233
2/29/2020,1128,240
3/1/2020,1694,566
3/2/2020,2036,342
3/3/2020,2502,466
3/4/2020,3089,587
3/5/2020,3858,769
3/6/2020,4636,778
3/7/2020,5883,1247
3/8/2020,7375,1492
3/9/2020,9172,1797
3/10/2020,10149,977
3/11/2020,12462,2313
3/12/2020,15113,2651
3/13/2020,17660,2547
3/14/2020,21157,3497
3/15/2020,24747,3590
3/16/2020,27980,3233
3/17/2020,31506,3526
3/18/2020,35713,4207
3/19/2020,41035,5322
3/20/2020,47021,5986
3/21/2020,53578,6557
3/22/2020,59138,5560
3/23/2020,63927,4789
3/24/2020,69176,5249
3/25/2020,74386,5210
3/26/2020,80589,6203
3/27/2020,86498,5909
3/28/2020,92472,5974
3/29/2020,97689,5217
3/30/2020,101739,4050
3/31/2020,105792,4053
4/1/2020,110574,4782
4/2/2020,115242,4668
4/3/2020,119827,4585
4/4/2020,124632,4805
4/5/2020,128948,4316
4/6/2020,132547,3599
4/7/2020,135586,3039
4/8/2020,139422,3836
4/9/2020,143626,4204
4/10/2020,147577,3951
4/11/2020,152271,4694
4/12/2020,156363,4092
4/13/2020,159516,3153
4/14/2020,162488,2972
4/15/2020,165155,2667
4/16/2020,168941,3786
4/17/2020,172434,3493
4/18/2020,175925,3491
4/19/2020,178972,3047
4/20/2020,181228,2256
4/21/2020,183957,2729
4/22/2020,187327,3370
4/23/2020,189973,2646
4/24/2020,192994,3021
4/25/2020,195351,2357
4/26/2020,197675,2324
4/27/2020,199414,1739
4/28/2020,201505,2091
4/29/2020,203591,2086
4/30/2020,205463,1872
5/1/2020,207428,1965
5/2/2020,209328,1900
5/3/2020,210717,1389
5/4/2020,211938,1221
5/5/2020,213013,1075
5/6/2020,214457,1444
5/7/2020,215858,1401
5/8/2020,217185,1327
5/9/2020,218268,1083
5/10/2020,219070,802
5/11/2020,219814,744
5/12/2020,221216,1402
5/13/2020,222104,888
5/14/2020,223096,992
5/15/2020,223885,789
5/16/2020,224760,875
5/17/2020,225435,675
5/18/2020,225886,451
5/19/2020,226699,813
5/20/2020,227364,665
5/21/2020,228006,642
5/22/2020,228658,652
5/23/2020,229327,669
5/24/2020,229858,531
5/25/2020,230158,300
5/26/2020,230555,397
5/27/2020,231139,584
5/28/2020,231732,593
5/29/2020,232248,516
5/30/2020,232664,416
5/31/2020,232997,333
6/1/2020,233197,200
6/2/2020,233515,318
6/3/2020,233836,321
6/4/2020,234013,177
6/5/2020,234531,518
6/6/2020,234801,270
6/7/2020,234998,197
6/8/2020,235278,280
6/9/2020,235561,283
6/10/2020,235763,202
6/11/2020,236142,379
6/12/2020,236305,163
6/13/2020,236651,346
6/14/2020,236989,338
6/15/2020,237290,301
6/16/2020,237500,210
6/17/2020,237828,328
6/18/2020,238159,331
6/19/2020,238011,-148
6/20/2020,238275,264
6/21/2020,238499,224
6/22/2020,238720,221
6/23/2020,238833,113
6/24/2020,239410,577
6/25/2020,239706,296
6/26/2020,239961,255
6/27/2020,240136,175
6/28/2020,240310,174
6/29/2020,240436,126
6/30/2020,240578,142
7/1/2020,240760,182
7/2/2020,240961,201
7/3/2020,241184,223
7/4/2020,241419,235
7/5/2020,241611,192
7/6/2020,241819,208
7/7/2020,241956,137
7/8/2020,242149,193
7/9/2020,242363,214
7/10/2020,242639,276
7/11/2020,242827,188
7/12/2020,243061,234
7/13/2020,243230,169
7/14/2020,243344,114
7/15/2020,243506,162
7/16/2020,243736,230
7/17/2020,243967,231
7/18/2020,244216,249
7/19/2020,244434,218
7/20/2020,244624,190
7/21/2020,244752,128
7/22/2020,245032,280
7/23/2020,245338,306
7/24/2020,245590,252
7/25/2020,245864,274
7/26/2020,246118,254
7/27/2020,246286,168
7/28/2020,246488,202
7/29/2020,246776,288
7/30/2020,247158,382
7/31/2020,247537,379
8/1/2020,247832,295
8/2/2020,248070,238
8/3/2020,248229,159
8/4/2020,248419,190
8/5/2020,248803,384
8/6/2020,249204,401
8/7/2020,249756,552
8/8/2020,250103,347
8/9/2020,250566,463
8/10/2020,250825,259
8/11/2020,251237,412
8/12/2020,251713,476
8/13/2020,252235,522
8/14/2020,252809,574
8/15/2020,253438,629
8/16/2020,253915,477
8/17/2020,254235,320
8/18/2020,254636,401
8/19/2020,255278,642
8/20/2020,256118,840
8/21/2020,257065,947
8/22/2020,258136,1071
8/23/2020,259345,1209
8/24/2020,260298,953
8/25/2020,261174,876
8/26/2020,262540,1366
8/27/2020,263949,1409
8/28/2020,265409,1460
8/29/2020,266853,1444
8/30/2020,268218,1365
8/31/2020,269214,996
9/1/2020,270189,975
9/2/2020,271515,1326
9/3/2020,272912,1397
9/4/2020,274644,1732
9/5/2020,276338,1694
9/6/2020,277634,1296
9/7/2020,278784,1150
9/8/2020,280153,1369
9/9/2020,281583,1430
9/10/2020,283180,1597
9/11/2020,284796,1616
9/12/2020,286297,1501
9/13/2020,287753,1456
9/14/2020,288761,1008
9/15/2020,289990,1229
9/16/2020,291442,1452
9/17/2020,293025,1583
9/18/2020,294932,1907
9/19/2020,296569,1637
9/20/2020,298156,1587
9/21/2020,299506,1350
9/22/2020,300897,1391
9/23/2020,302537,1640
9/24/2020,304323,1786
9/25/2020,306235,1912
9/26/2020,308104,1869
9/27/2020,309870,1766
9/28/2020,311364,1494
9/29/2020,313011,1647
9/30/2020,314861,1850
10/1/2020,317409,2548
10/2/2020,319908,2499
10/3/2020,322751,2843
10/4/2020,325329,2578
10/5/2020,327586,2257
10/6/2020,330263,2677
10/7/2020,333940,3677
10/8/2020,338398,4458
10/9/2020,343770,5372
10/10/2020,349494,5724
10/11/2020,354950,5456
10/12/2020,359569,4619
10/13/2020,365467,5898
10/14/2020,372799,7332
10/15/2020,381602,8803
10/16/2020,391611,10009
10/17/2020,402536,10925
10/18/2020,414241,11705
10/19/2020,423578,9337
10/20/2020,434449,10871
10/21/2020,449648,15199
10/22/2020,465726,16078
10/23/2020,484869,19143
10/24/2020,504509,19640
10/25/2020,525782,21273
10/26/2020,542789,17007
10/27/2020,564778,21989
10/28/2020,589766,24988
10/29/2020,616595,26829
10/30/2020,647674,31079
10/31/2020,679430,31756
11/1/2020,709335,29905
11/2/2020,731588,22253
11/3/2020,759829,28241
11/4/2020,790377,30548
11/5/2020,824879,34502
11/6/2020,862681,37802
11/7/2020,902490,39809
11/8/2020,935104,32614
11/9/2020,960373,25269
11/10/2020,995463,35090
11/11/2020,1028424,32961
11/12/2020,1066401,37977
11/13/2020,1107303,40902
11/14/2020,1144552,37249
11/15/2020,1178529,33977
11/16/2020,1205881,27352
