Date,Total Case,New Case
1/22/2020,1,1
1/23/2020,1,0
1/24/2020,2,1
1/25/2020,2,0
1/26/2020,3,1
1/27/2020,4,1
1/28/2020,4,0
1/29/2020,4,0
1/30/2020,4,0
1/31/2020,11,7
2/1/2020,12,1
2/2/2020,15,3
2/3/2020,15,0
2/4/2020,16,1
2/5/2020,19,3
2/6/2020,23,4
2/7/2020,24,1
2/8/2020,24,0
2/9/2020,25,1
2/10/2020,27,2
2/11/2020,28,1
2/12/2020,28,0
2/13/2020,28,0
2/14/2020,28,0
2/15/2020,28,0
2/16/2020,29,1
2/17/2020,30,1
2/18/2020,31,1
2/19/2020,31,0
2/20/2020,104,73
2/21/2020,204,100
2/22/2020,433,229
2/23/2020,602,169
2/24/2020,833,231
2/25/2020,977,144
2/26/2020,1261,284
2/27/2020,1766,505
2/28/2020,2337,571
2/29/2020,3150,813
3/1/2020,3736,586
3/2/2020,4335,599
3/3/2020,5186,851
3/4/2020,5621,435
3/5/2020,6088,467
3/6/2020,6593,505
3/7/2020,7041,448
3/8/2020,7314,273
3/9/2020,7478,164
3/10/2020,7513,35
3/11/2020,7755,242
3/12/2020,7869,114
3/13/2020,7979,110
3/14/2020,8086,107
3/15/2020,8162,76
3/16/2020,8236,74
3/17/2020,8320,84
3/18/2020,8413,93
3/19/2020,8565,152
3/20/2020,8652,87
3/21/2020,8799,147
3/22/2020,8961,162
3/23/2020,8961,0
3/24/2020,9037,76
3/25/2020,9137,100
3/26/2020,9241,104
3/27/2020,9332,91
3/28/2020,9478,146
3/29/2020,9583,105
3/30/2020,9661,78
3/31/2020,9786,125
4/1/2020,9887,101
4/2/2020,9976,89
4/3/2020,10062,86
4/4/2020,10156,94
4/5/2020,10237,81
4/6/2020,10284,47
4/7/2020,10331,47
4/8/2020,10384,53
4/9/2020,10423,39
4/10/2020,10450,27
4/11/2020,10480,30
4/12/2020,10512,32
4/13/2020,10537,25
4/14/2020,10564,27
4/15/2020,10591,27
4/16/2020,10613,22
4/17/2020,10635,22
4/18/2020,10653,18
4/19/2020,10661,8
4/20/2020,10674,13
4/21/2020,10683,9
4/22/2020,10694,11
4/23/2020,10708,14
4/24/2020,10718,10
4/25/2020,10728,10
4/26/2020,10738,10
4/27/2020,10752,14
4/28/2020,10761,9
4/29/2020,10765,4
4/30/2020,10774,9
5/1/2020,10780,6
5/2/2020,10793,13
5/3/2020,10801,8
5/4/2020,10804,3
5/5/2020,10806,2
5/6/2020,10810,4
5/7/2020,10822,12
5/8/2020,10840,18
5/9/2020,10874,34
5/10/2020,10909,35
5/11/2020,10936,27
5/12/2020,10962,26
5/13/2020,10991,29
5/14/2020,11018,27
5/15/2020,11037,19
5/16/2020,11050,13
5/17/2020,11065,15
5/18/2020,11078,13
5/19/2020,11110,32
5/20/2020,11122,12
5/21/2020,11142,20
5/22/2020,11165,23
5/23/2020,11190,25
5/24/2020,11206,16
5/25/2020,11225,19
5/26/2020,11265,40
5/27/2020,11344,79
5/28/2020,11402,58
5/29/2020,11441,39
5/30/2020,11468,27
5/31/2020,11503,35
6/1/2020,11541,38
6/2/2020,11590,49
6/3/2020,11629,39
6/4/2020,11668,39
6/5/2020,11719,51
6/6/2020,11776,57
6/7/2020,11814,38
6/8/2020,11852,38
6/9/2020,11902,50
6/10/2020,11947,45
6/11/2020,12003,56
6/12/2020,12051,48
6/13/2020,12085,34
6/14/2020,12121,36
6/15/2020,12155,34
6/16/2020,12198,43
6/17/2020,12257,59
6/18/2020,12306,49
6/19/2020,12373,67
6/20/2020,12421,48
6/21/2020,12438,17
6/22/2020,12484,46
6/23/2020,12535,51
6/24/2020,12563,28
6/25/2020,12602,39
6/26/2020,12653,51
6/27/2020,12715,62
6/28/2020,12757,42
6/29/2020,12800,43
6/30/2020,12850,50
7/1/2020,12904,54
7/2/2020,12967,63
7/3/2020,13030,63
7/4/2020,13091,61
7/5/2020,13137,46
7/6/2020,13181,44
7/7/2020,13244,63
7/8/2020,13293,49
7/9/2020,13338,45
7/10/2020,13373,35
7/11/2020,13417,44
7/12/2020,13479,62
7/13/2020,13512,33
7/14/2020,13551,39
7/15/2020,13612,61
7/16/2020,13672,60
7/17/2020,13711,39
7/18/2020,13745,34
7/19/2020,13771,26
7/20/2020,13816,45
7/21/2020,13879,63
7/22/2020,13938,59
7/23/2020,13979,41
7/24/2020,14092,113
7/25/2020,14150,58
7/26/2020,14175,25
7/27/2020,14203,28
7/28/2020,14251,48
7/29/2020,14269,18
7/30/2020,14305,36
7/31/2020,14336,31
8/1/2020,14366,30
8/2/2020,14389,23
8/3/2020,14423,34
8/4/2020,14456,33
8/5/2020,14499,43
8/6/2020,14519,20
8/7/2020,14562,43
8/8/2020,14598,36
8/9/2020,14626,28
8/10/2020,14660,34
8/11/2020,14714,54
8/12/2020,14770,56
8/13/2020,14873,103
