Date,Total Case,New Case
2/1/2020,1,1
2/2/2020,1,0
2/3/2020,1,0
2/4/2020,1,0
2/5/2020,1,0
2/6/2020,1,0
2/7/2020,1,0
2/8/2020,1,0
2/9/2020,2,1
2/10/2020,2,0
2/11/2020,2,0
2/12/2020,2,0
2/13/2020,2,0
2/14/2020,2,0
2/15/2020,2,0
2/16/2020,2,0
2/17/2020,2,0
2/18/2020,2,0
2/19/2020,2,0
2/20/2020,2,0
2/21/2020,2,0
2/22/2020,2,0
2/23/2020,2,0
2/24/2020,2,0
2/25/2020,6,4
2/26/2020,13,7
2/27/2020,15,2
2/28/2020,32,17
2/29/2020,45,13
3/1/2020,84,39
3/2/2020,120,36
3/3/2020,165,45
3/4/2020,222,57
3/5/2020,259,37
3/6/2020,400,141
3/7/2020,500,100
3/8/2020,673,173
3/9/2020,1073,400
3/10/2020,1695,622
3/11/2020,2277,582
3/12/2020,2277,0
3/13/2020,5232,2955
3/14/2020,6391,1159
3/15/2020,7798,1407
3/16/2020,9942,2144
3/17/2020,11748,1806
3/18/2020,13910,2162
3/19/2020,17963,4053
3/20/2020,20410,2447
3/21/2020,25374,4964
3/22/2020,28768,3394
3/23/2020,35136,6368
3/24/2020,39885,4749
3/25/2020,49515,9630
3/26/2020,57786,8271
3/27/2020,65719,7933
3/28/2020,73235,7516
3/29/2020,80110,6875
3/30/2020,87956,7846
3/31/2020,95923,7967
4/1/2020,104118,8195
4/2/2020,112065,7947
4/3/2020,119199,7134
4/4/2020,126168,6969
4/5/2020,131646,5478
4/6/2020,136675,5029
4/7/2020,141942,5267
4/8/2020,148220,6278
4/9/2020,153222,5002
4/10/2020,158273,5051
4/11/2020,163027,4754
4/12/2020,166831,3804
4/13/2020,170099,3268
4/14/2020,172541,2442
4/15/2020,177644,5103
4/16/2020,184948,7304
4/17/2020,190839,5891
4/18/2020,191726,887
4/19/2020,198674,6948
4/20/2020,200210,1536
4/21/2020,204178,3968
4/22/2020,208389,4211
4/23/2020,213024,4635
4/24/2020,202990,-10034
4/25/2020,205905,2915
4/26/2020,207634,1729
4/27/2020,209465,1831
4/28/2020,210773,1308
4/29/2020,212917,2144
4/30/2020,213435,518
5/1/2020,215216,1781
5/2/2020,216582,1366
5/3/2020,217466,884
5/4/2020,218011,545
5/5/2020,219329,1318
5/6/2020,220325,996
5/7/2020,221447,1122
5/8/2020,222857,1410
5/9/2020,223578,721
5/10/2020,224350,772
5/11/2020,227436,3086
5/12/2020,228030,594
5/13/2020,228691,661
5/14/2020,229540,849
5/15/2020,230183,643
5/16/2020,230698,515
5/17/2020,230698,0
5/18/2020,231606,908
5/19/2020,232037,431
5/20/2020,232555,518
5/21/2020,233037,482
5/22/2020,234824,1787
5/23/2020,235290,466
5/24/2020,235772,482
5/25/2020,235400,-372
5/26/2020,236259,859
5/27/2020,236259,0
5/28/2020,237906,1647
