Date,Total Case,New Case
1/22/2020,1,1
1/23/2020,1,0
1/24/2020,2,1
1/25/2020,2,0
1/26/2020,5,3
1/27/2020,5,0
1/28/2020,5,0
1/29/2020,6,1
1/30/2020,6,0
1/31/2020,8,2
2/1/2020,8,0
2/2/2020,8,0
2/3/2020,11,3
2/4/2020,11,0
2/5/2020,11,0
2/6/2020,12,1
2/7/2020,12,0
2/8/2020,12,0
2/9/2020,12,0
2/10/2020,12,0
2/11/2020,13,1
2/12/2020,13,0
2/13/2020,14,1
2/14/2020,14,0
2/15/2020,14,0
2/16/2020,14,0
2/17/2020,14,0
2/18/2020,14,0
2/19/2020,14,0
2/20/2020,14,0
2/21/2020,16,2
2/22/2020,16,0
2/23/2020,16,0
2/24/2020,16,0
2/25/2020,16,0
2/26/2020,16,0
2/27/2020,17,1
2/28/2020,17,0
2/29/2020,25,8
3/1/2020,32,7
3/2/2020,55,23
3/3/2020,74,19
3/4/2020,107,33
3/5/2020,184,77
3/6/2020,237,53
3/7/2020,403,166
3/8/2020,519,116
3/9/2020,594,75
3/10/2020,782,188
3/11/2020,1147,365
3/12/2020,1586,439
3/13/2020,2219,633
3/14/2020,2978,759
3/15/2020,3212,234
3/16/2020,4679,1467
3/17/2020,6512,1833
3/18/2020,9169,2657
3/19/2020,13663,4494
3/20/2020,20030,6367
3/21/2020,26025,5995
3/22/2020,34944,8919
3/23/2020,46096,11152
3/24/2020,56714,10618
3/25/2020,68841,12127
3/26/2020,86662,17821
3/27/2020,105253,18591
3/28/2020,127417,22164
3/29/2020,143544,16127
3/30/2020,165698,22154
3/31/2020,192079,26381
4/1/2020,223237,31158
4/2/2020,255516,32279
4/3/2020,287918,32402
4/4/2020,319755,31837
4/5/2020,348998,29243
4/6/2020,380786,31788
4/7/2020,410820,30034
4/8/2020,441879,31059
4/9/2020,477498,35619
4/10/2020,511775,34277
4/11/2020,540699,28924
4/12/2020,566999,26300
4/13/2020,594155,27156
4/14/2020,622470,28315
4/15/2020,648363,25893
4/16/2020,677983,29620
4/17/2020,711000,33017
4/18/2020,738408,27408
4/19/2020,763845,25437
4/20/2020,793953,30108
4/21/2020,820012,26059
4/22/2020,849896,29884
4/23/2020,881853,31957
4/24/2020,913801,31948
4/25/2020,944706,30905
4/26/2020,970666,25960
4/27/2020,995341,24675
4/28/2020,1019922,24581
4/29/2020,1046782,26860
4/30/2020,1076478,29696
5/1/2020,1111364,34886
5/2/2020,1138137,26773
5/3/2020,1161874,23737
5/4/2020,1185670,23796
5/5/2020,1209674,24004
5/6/2020,1234164,24490
5/7/2020,1261898,27734
5/8/2020,1289095,27197
5/9/2020,1313562,24467
5/10/2020,1332309,18747
5/11/2020,1351361,19052
5/12/2020,1374722,23361
5/13/2020,1394746,20024
5/14/2020,1420650,25904
5/15/2020,1445463,24813
5/16/2020,1469549,24086
5/17/2020,1488299,18750
5/18/2020,1510578,22279
5/19/2020,1531062,20484
5/20/2020,1553890,22828
5/21/2020,1579106,25216
5/22/2020,1602973,23867
5/23/2020,1623156,20183
5/24/2020,1643343,20187
5/25/2020,1662433,19090
5/26/2020,1681107,18674
5/27/2020,1699846,18739
5/28/2020,1721115,21269
5/29/2020,1746202,25087
5/30/2020,1769293,23091
5/31/2020,1788188,18895
6/1/2020,1806054,17866
6/2/2020,1826132,20078
6/3/2020,1845295,19163
6/4/2020,1873216,27921
6/5/2020,1899623,26407
6/6/2020,1919919,20296
6/7/2020,1937771,17852
6/8/2020,1954667,16896
6/9/2020,1974969,20302
6/10/2020,1996689,21720
6/11/2020,2018970,22281
6/12/2020,2044522,25552
6/13/2020,2068699,24177
6/14/2020,2087600,18901
6/15/2020,2108597,20997
6/16/2020,2133130,24533
6/17/2020,2160193,27063
6/18/2020,2188415,28222
6/19/2020,2219477,31062
6/20/2020,2251291,31814
6/21/2020,2277139,25848
6/22/2020,2306958,29819
6/23/2020,2345654,38696
6/24/2020,2381915,36261
6/25/2020,2421216,39301
6/26/2020,2470253,49037
6/27/2020,2511009,40756
6/28/2020,2553925,42916
6/29/2020,2595227,41302
6/30/2020,2645049,49822
7/1/2020,2694167,49118
7/2/2020,2749090,54923
7/3/2020,2800601,51511
7/4/2020,2846567,45966
7/5/2020,2900301,53734
7/6/2020,2943449,43148
7/7/2020,3000655,57206
7/8/2020,3060935,60280
7/9/2020,3120607,59672
7/10/2020,3189461,68854
7/11/2020,3249898,60437
7/12/2020,3310019,60121
7/13/2020,3369439,59420
7/14/2020,3435082,65643
7/15/2020,3501079,65997
7/16/2020,3571874,70795
7/17/2020,3638355,66481
7/18/2020,3702680,64325
7/19/2020,3761618,58938
7/20/2020,3822308,60690
7/21/2020,3890423,68115
7/22/2020,3958006,67583
7/23/2020,4025899,67893
7/24/2020,4101046,75147
7/25/2020,4165229,64183
7/26/2020,4221099,55870
